Student_ID,Age,Gender,SES,High_School_GPA,SAT_Score,Academic_Failures,Attendance_Percentage,Extracurricular_Participation,Academic_Support,Online_Learning_Hours,Enrolled,Graduated
344,21,Male,High,2.13,1147,2,51.7,Yes,Yes,8.3,No,Success
345,20,Male,Middle,3.16,1426,0,98.5,No,Yes,6.4,Yes,Success
346,21,Male,High,2.54,903,4,97.5,Yes,No,0.8,Yes,Needs Support
347,19,Male,High,3.6,1429,3,75.6,Yes,No,7.4,No,Success
348,20,Female,High,2.62,1316,1,54.7,Yes,No,0.9,No,Needs Support
349,19,Male,Low,2.91,1047,0,87.7,Yes,Yes,5.9,Yes,Success
350,17,Female,High,2.02,1163,2,74.6,Yes,No,7.0,Yes,Needs Support
351,17,Male,Low,2.14,1120,1,65.1,No,Yes,0.7,Yes,Needs Support
352,20,Female,Low,2.78,1432,2,74.6,No,Yes,2.3,Yes,Needs Support
353,20,Female,Low,2.96,1085,3,76.1,No,No,9.2,Yes,Needs Support
354,22,Male,Middle,3.2,948,4,78.1,No,No,6.2,Yes,Needs Support
355,21,Male,Low,2.58,883,1,72.1,Yes,Yes,2.5,No,Success
356,22,Male,Low,3.39,1205,1,80.3,No,No,6.9,No,Needs Support
357,21,Male,Middle,3.72,1255,3,95.9,No,No,6.0,No,Success
358,22,Female,Low,3.56,1542,0,68.1,Yes,Yes,5.0,Yes,Needs Support
359,19,Male,High,2.08,1599,4,86.3,Yes,No,9.8,Yes,Needs Support
360,20,Male,High,2.96,960,1,94.7,No,Yes,6.8,Yes,Success
361,17,Female,Low,2.21,1583,4,72.8,No,Yes,3.8,No,Success
362,21,Male,Middle,2.48,1259,1,72.2,Yes,No,8.0,No,Success
363,21,Male,High,3.97,1349,4,80.1,No,Yes,8.8,Yes,Success
364,17,Male,Middle,2.28,1299,2,79.6,No,Yes,1.3,Yes,Needs Support
365,22,Male,Middle,3.0,1537,1,90.3,No,No,2.0,No,Success
366,21,Male,High,3.24,1308,4,73.8,No,No,2.2,No,Needs Support
367,19,Female,Middle,3.4,1453,0,99.8,Yes,No,6.9,No,Success
368,20,Male,High,3.12,1280,2,53.0,Yes,Yes,6.0,Yes,Success
369,17,Male,Middle,2.02,1462,2,50.2,Yes,Yes,6.2,Yes,Needs Support
370,20,Male,High,2.65,913,0,82.0,No,No,9.4,Yes,Needs Support
371,21,Male,Low,3.04,1548,4,64.9,No,Yes,7.8,No,Success
372,21,Male,High,2.18,1377,3,62.0,No,No,1.3,No,Needs Support
373,17,Female,High,2.7,1160,0,65.6,No,No,3.5,Yes,Needs Support
374,19,Male,High,2.07,1140,4,62.8,No,Yes,4.4,Yes,Needs Support
375,18,Female,High,2.16,1569,0,51.5,Yes,No,4.0,No,Needs Support
376,17,Female,Middle,2.79,1560,0,98.6,No,Yes,6.7,Yes,Needs Support
377,18,Male,Low,2.27,1248,1,61.0,No,Yes,8.9,No,Needs Support
378,22,Male,High,3.14,979,4,86.7,Yes,No,3.1,No,Needs Support
379,18,Male,Middle,3.38,1501,3,88.1,No,Yes,5.5,Yes,Needs Support
380,19,Male,Low,3.6,1206,1,96.5,Yes,No,7.9,No,Success
381,22,Female,Low,2.4,1465,0,51.5,Yes,Yes,4.2,Yes,Needs Support
382,18,Male,Low,2.33,995,0,93.6,Yes,Yes,1.7,No,Success
383,22,Male,Low,2.21,1265,0,76.4,Yes,Yes,4.7,No,Needs Support
384,18,Male,High,3.27,1110,4,81.6,Yes,No,0.6,Yes,Needs Support
385,19,Male,High,3.41,1061,4,82.2,No,Yes,9.4,No,Needs Support
386,18,Male,Middle,2.06,1218,1,91.0,Yes,No,0.7,Yes,Needs Support
387,18,Male,Middle,3.87,1205,3,66.7,Yes,Yes,4.4,Yes,Success
388,18,Female,Middle,2.1,942,1,86.7,No,Yes,5.3,No,Success
389,17,Female,Low,3.08,1141,2,76.4,No,No,9.9,Yes,Needs Support
390,17,Male,Low,3.42,1115,0,89.7,Yes,No,1.7,Yes,Success
391,17,Male,High,3.74,900,0,99.5,No,No,1.1,Yes,Needs Support
392,19,Male,Low,3.43,1043,0,60.0,No,No,0.1,Yes,Needs Support
393,22,Female,Low,3.6,1289,1,99.7,Yes,No,1.6,Yes,Success
394,21,Male,Low,2.68,811,1,54.5,Yes,Yes,2.1,Yes,Success
395,18,Female,Middle,3.63,1038,0,50.1,No,Yes,6.3,No,Needs Support
396,18,Male,Middle,2.16,1360,1,52.2,Yes,No,2.2,Yes,Needs Support
397,19,Male,High,3.79,841,4,67.1,Yes,Yes,0.2,No,Success
398,18,Male,Low,3.1,1477,4,81.6,No,Yes,8.3,No,Needs Support
399,17,Male,Low,3.63,1393,1,53.5,Yes,Yes,3.7,Yes,Success
400,21,Female,High,2.9,1228,0,50.3,Yes,No,3.5,No,Needs Support
401,20,Female,Low,3.29,957,1,96.9,Yes,Yes,3.0,No,Needs Support
402,18,Male,Low,3.05,1015,1,91.1,Yes,Yes,9.8,Yes,Success
403,17,Male,Middle,3.46,1469,1,90.5,Yes,Yes,1.7,Yes,Success
404,20,Female,High,2.16,1261,2,94.2,No,No,9.0,Yes,Success
405,21,Female,High,2.12,933,4,85.0,No,Yes,7.8,No,Needs Support
406,20,Female,High,2.49,866,3,55.2,Yes,Yes,0.8,No,Needs Support
407,17,Female,High,2.32,806,3,70.0,No,No,9.9,Yes,Needs Support
408,22,Male,Middle,3.74,1325,2,86.2,Yes,No,2.7,Yes,Needs Support
409,22,Female,Middle,2.44,872,1,64.0,Yes,Yes,1.0,No,Success
410,20,Male,Low,3.95,1198,2,84.4,Yes,Yes,8.3,No,Needs Support
411,19,Female,Low,2.67,1204,2,51.2,Yes,No,7.1,No,Needs Support
412,20,Female,Low,2.36,1474,0,65.3,Yes,No,6.2,No,Needs Support
413,18,Female,Low,3.58,1377,4,77.5,No,No,1.6,Yes,Success
414,18,Female,Middle,3.32,929,3,81.6,No,No,4.8,No,Needs Support
415,22,Female,High,3.0,1265,1,78.9,Yes,No,7.8,No,Needs Support
416,19,Male,Middle,3.11,1005,3,84.9,No,No,3.0,No,Success
417,17,Male,Low,3.44,1587,3,50.3,Yes,No,3.1,No,Needs Support
418,18,Female,Middle,2.46,1567,4,55.0,No,Yes,0.0,Yes,Needs Support
419,22,Female,High,3.99,1065,3,93.4,Yes,No,1.7,Yes,Success
420,21,Male,High,3.95,1336,3,84.1,No,No,8.8,No,Needs Support
421,22,Female,Middle,3.3,1592,2,55.6,Yes,Yes,4.4,No,Needs Support
422,18,Female,Middle,2.4,1052,4,92.1,Yes,No,9.8,Yes,Needs Support
423,18,Male,Middle,3.36,1088,0,62.1,No,No,4.0,Yes,Success
424,22,Female,Low,2.14,963,1,73.9,No,Yes,7.2,No,Needs Support
425,17,Female,Middle,2.06,894,3,57.3,Yes,No,2.8,No,Needs Support
426,20,Male,Middle,2.52,1581,1,85.5,No,Yes,3.6,Yes,Success
427,18,Male,Middle,2.93,909,0,83.3,Yes,Yes,1.9,Yes,Success
428,22,Male,High,3.74,1135,1,60.6,No,Yes,3.5,Yes,Needs Support
429,22,Female,High,3.45,1037,0,93.2,No,Yes,5.5,Yes,Needs Support
430,19,Male,Low,3.49,1180,2,70.1,Yes,No,9.9,Yes,Needs Support
431,20,Male,Low,2.85,1235,3,64.6,No,Yes,6.6,Yes,Needs Support
432,21,Male,High,2.69,1282,0,57.6,No,Yes,2.0,No,Success
433,17,Male,High,2.74,824,1,63.3,Yes,No,0.4,Yes,Needs Support
434,21,Male,High,3.98,1452,3,51.1,No,Yes,1.3,Yes,Success
435,20,Male,Middle,2.08,916,2,79.2,Yes,Yes,5.6,Yes,Success
436,20,Female,Middle,3.73,1281,3,92.1,Yes,Yes,7.7,Yes,Needs Support
437,20,Female,High,3.16,1191,0,77.4,Yes,Yes,9.4,No,Needs Support
438,21,Male,Middle,2.88,1336,2,61.0,Yes,No,0.2,No,Success
439,20,Male,Middle,3.45,878,1,51.7,Yes,Yes,5.2,Yes,Success
440,22,Male,Low,2.97,1379,2,60.7,No,No,4.7,No,Needs Support
441,21,Female,High,3.75,972,2,70.8,Yes,No,6.6,No,Success
442,20,Female,High,3.8,811,4,88.0,Yes,Yes,5.6,No,Needs Support
443,22,Female,Middle,2.84,1599,2,59.4,No,Yes,6.9,No,Needs Support
444,19,Female,High,2.55,927,2,86.0,No,Yes,6.6,No,Success
445,20,Female,Low,3.18,1407,3,93.3,No,Yes,1.2,No,Success
446,21,Female,Low,3.82,891,1,72.7,Yes,No,8.0,Yes,Needs Support
447,18,Female,Low,2.42,1452,3,91.1,Yes,No,1.2,Yes,Success
448,20,Female,High,3.25,1342,3,77.7,Yes,No,7.0,Yes,Needs Support
449,18,Female,High,3.26,1331,0,81.9,No,Yes,4.2,Yes,Needs Support
450,22,Male,High,3.47,1457,3,76.3,Yes,No,5.1,Yes,Needs Support
451,19,Male,High,2.26,1246,4,73.2,No,Yes,9.0,No,Success
452,17,Male,High,3.43,1189,4,61.7,Yes,Yes,8.9,Yes,Needs Support
453,19,Male,Low,3.82,1471,0,65.2,No,Yes,8.2,Yes,Needs Support
454,20,Female,Middle,2.36,842,1,64.5,Yes,Yes,5.1,No,Needs Support
455,18,Female,Low,2.48,1053,1,78.2,Yes,Yes,7.4,No,Needs Support
456,18,Male,High,3.94,929,3,56.0,Yes,No,5.1,Yes,Needs Support
457,21,Female,Low,2.36,859,3,95.8,No,No,8.7,No,Needs Support
458,18,Male,High,3.71,1462,3,86.0,No,Yes,4.0,No,Needs Support
459,21,Female,High,2.98,1266,1,70.1,Yes,No,9.7,No,Needs Support
460,22,Male,Low,2.49,1086,2,57.9,Yes,Yes,9.3,No,Needs Support
461,17,Female,High,3.74,1316,4,94.1,Yes,Yes,7.4,Yes,Needs Support
462,20,Female,Middle,2.89,1266,2,91.2,No,Yes,2.8,No,Needs Support
463,21,Male,High,3.03,1577,2,86.1,Yes,No,1.3,Yes,Success
464,17,Female,Middle,2.72,1144,1,63.6,Yes,Yes,8.5,Yes,Needs Support
465,18,Male,Middle,3.19,1441,2,70.1,Yes,Yes,1.7,No,Needs Support
466,18,Male,High,2.33,1181,0,55.1,Yes,No,8.5,No,Needs Support
467,17,Male,Low,2.78,1578,3,59.5,No,No,4.9,No,Success
468,18,Male,Middle,3.94,1489,0,89.2,No,No,4.1,Yes,Needs Support
469,22,Female,Low,2.52,1052,4,85.8,Yes,Yes,9.0,No,Success
470,22,Female,Middle,3.31,855,3,79.7,Yes,Yes,6.0,No,Needs Support
471,17,Female,High,2.65,1262,2,94.8,No,No,5.8,No,Needs Support
472,21,Male,High,3.55,1256,4,79.2,No,Yes,5.6,No,Success
473,21,Female,Middle,2.26,882,3,73.3,Yes,No,3.7,No,Needs Support
474,17,Male,High,3.94,898,2,67.0,No,No,7.9,Yes,Success
475,21,Female,Middle,2.91,948,0,97.0,No,Yes,2.5,No,Success
476,21,Female,High,2.47,1128,3,54.1,Yes,Yes,9.4,No,Needs Support
477,22,Female,Low,2.15,955,2,96.5,No,No,8.9,No,Needs Support
478,21,Male,High,2.34,989,0,91.3,No,No,3.4,Yes,Needs Support
479,19,Female,Low,3.04,1293,4,56.5,Yes,No,7.3,No,Needs Support
480,20,Female,High,2.67,1062,4,78.2,Yes,No,5.7,Yes,Success
481,18,Male,Low,3.66,879,4,93.3,No,Yes,3.4,Yes,Success
482,19,Female,High,2.86,1199,4,78.6,Yes,No,9.9,No,Needs Support
483,21,Male,Low,2.5,1563,1,95.4,No,No,0.3,No,Success
484,22,Female,Middle,3.23,1408,3,97.1,Yes,No,2.5,No,Success
485,17,Male,Middle,3.41,1059,3,71.1,No,Yes,5.2,Yes,Needs Support
486,21,Male,Low,2.33,1571,1,68.9,Yes,Yes,5.2,Yes,Success
487,22,Female,High,2.34,1414,2,96.8,No,No,5.9,Yes,Success
488,20,Male,Low,2.07,1351,2,83.8,No,Yes,7.5,Yes,Needs Support
489,21,Male,High,3.47,1584,4,55.8,No,Yes,6.2,Yes,Success
490,17,Male,Middle,3.33,900,0,52.1,Yes,Yes,6.0,Yes,Needs Support
491,22,Male,High,2.95,1158,2,78.2,Yes,No,0.5,No,Success
492,22,Male,Middle,3.69,1179,0,96.5,No,No,3.8,No,Needs Support
493,22,Male,High,3.61,1020,3,92.2,No,Yes,2.3,Yes,Success
494,20,Female,High,3.17,1219,0,83.8,Yes,No,2.7,No,Success
495,21,Male,High,3.74,923,3,57.0,Yes,No,5.5,No,Needs Support
496,20,Male,Low,2.41,1221,1,62.7,Yes,Yes,2.0,Yes,Needs Support
497,18,Female,Low,2.22,1030,1,93.8,Yes,Yes,2.9,Yes,Needs Support
498,18,Female,Middle,2.54,1489,4,59.1,Yes,No,2.4,No,Needs Support
499,21,Female,Middle,2.11,862,2,63.9,Yes,Yes,9.5,Yes,Success
500,20,Female,Low,3.06,1284,4,56.5,No,No,9.4,Yes,Success
